jurassic-park,steven-spielberg,sam-neill laura-dern jeff-goldblum richard-attenborough bob-peck martin-ferrero bd-wong joseph-mazzello ariana-richards samuel-l-jackson wayne-knight gerald-r-molen miguel-sandoval cameron-thor christopher-john-fields whit-hertford dean-cundey jophery-c-brown tom-mishler greg-burson adrian-escober richard-kiley brad-m-bucklin laura-burnett gary-rodriguez brian-smrz robert-bobby-z-zajonc
the-lost-world-jurassic-park,steven-spielberg,jeff-goldblum julianne-moore pete-postlethwaite richard-attenborough vince-vaughn arliss-howard vanessa-lee-chester joseph-mazzello ariana-richards steven-spielberg peter-stormare camilla-belle cyd-strittmatter robin-sachs thomas-rosales-jr thomas-f-duffy richard-schiff harvey-jason ross-partridge ian-abercrombie j-scott-shonka billy-brown gordon-michaels brian-turk-1 colton-james carey-eidel katy-boyer david-sawyer-1 geno-silva alex-miranda-cruz robert-bobby-z-zajonc patricia-bethune david-st-james marjean-holden jacqueline-schultz domini-hofmann eli-roth larry-guardino
jurassic-park-iii,joe-johnston,sam-neill william-h-macy tea-leoni trevor-morgan alessandro-nivola michael-jeter john-diehl bruce-a-young laura-dern taylor-nichols mark-harelik julio-oscar-mechoso blake-michael-bryan sarah-danielle-madison-1 linda-park sonia-jackson bruce-french bernard-zilinskas rona-benson frank-clem
jurassic-world,colin-trevorrow,chris-pratt bryce-dallas-howard irrfan-khan vincent-donofrio nick-robinson-1 ty-simpkins jake-johnson-1 omar-sy bd-wong judy-greer lauren-lapkus brian-tee katie-mcgrath andy-buckley eric-edelstein jimmy-fallon james-dumont-1 matt-burke-1 anna-talakkottur colin-trevorrow courtney-j-clark kelly-washington matthew-cardarople chad-randall yvonne-angulo chloe-perrin erika-erica tiffany-forest brandon-marc-higa arlene-newman
kate-leopold,james-mangold,meg-ryan hugh-jackman liev-schreiber breckin-meyer natasha-lyonne bradley-whitford paxton-whitehead spalding-gray josh-stamberg matthew-sussman charlotte-ayanna philip-bosco andrew-jack stan-tracy kristen-schaal viola-davis
keanu,peter-atencio,jordan-peele keegan-michael-key-1 tiffany-haddish method-man darrell-britt-gibson jason-mitchell-1 jamar-malachi-neighbors luis-guzman-1 will-forte nia-long rob-huebel madison-wolfe jordyn-a-davis james-yeargain brittany-seymour richard-holden nadiyah-skyy-taylor susan-mcbrien jenny-ballard ian-casselberry neil-wells david-a-cole reginal-varice nicholas-hayner keanu-reeves sue-lynn-ansari anna-faris gino-galento maia-kavchak
kill-bill-vol-1,quentin-tarantino,uma-thurman lucy-liu vivica-a-fox daryl-hannah david-carradine michael-madsen julie-dreyfus chiaki-kuriyama sonny-chiba gordon-liu-chia-hui-1 michael-parks michael-bowen jun-kunimura kenji-ohba yuki-kazamatsuri james-parks sakichi-sato jonathan-loughran yoshiyuki-morishita tetsuro-shimaguchi kazuki-kitamura yoji-tanaka so-yamanaka juri-manase akaji-maro goro-daimon shun-sugata zhang-jin-zhan hu-xiaohui ambrosia-kelley sachiko-fujii shu-lan-tuan ai-maeda naomi-kusumi hikaru-midorikawa issey-takahashi
kill-bill-vol-2,quentin-tarantino,uma-thurman david-carradine daryl-hannah michael-madsen gordon-liu-chia-hui-1 michael-parks perla-haney-jardine larry-bishop samuel-l-jackson lucy-liu vivica-a-fox julie-dreyfus christopher-allen-nelson helen-kim laura-cayouette jun-kunimura goro-daimon kazuki-kitamura akaji-maro shun-sugata sachiko-fujii sakichi-sato yoji-tanaka so-yamanaka chiaki-kuriyama claire-smithies issey-takahashi sid-haig bo-svenson
the-kings-speech,tom-hooper,colin-firth geoffrey-rush helena-bonham-carter guy-pearce timothy-spall michael-gambon jennifer-ehle derek-jacobi freya-wilson ramona-marquez richard-dixon robert-portal eve-best paul-trussell adrian-scarborough andrew-havill charles-armstrong-1 roger-hammond calum-gittins-1 dominic-applewhite ben-wimsett-1 david-bamber jake-hathaway-1 patrick-ryecart-1 teresa-gallagher-1 simon-chandler claire-bloom orlando-wells tim-downie dick-ward john-albasiny danny-emes-1 anthony-andrews john-warnaby roger-parrott-1 dean-ambridge julianne-buescher james-currie-1 graham-curry tony-earnshaw sean-talo
a-knights-tale,brian-helgeland,heath-ledger rufus-sewell shannyn-sossamon paul-bettany laura-fraser mark-addy alan-tudyk james-purefoy berenice-bejo scott-handy christopher-cazenove steven-odonnell jonathan-slinger nick-brimble roger-ashton-griffiths david-schneider milan-slepicka
knocked-up,judd-apatow,seth-rogen katherine-heigl leslie-mann paul-rudd jason-segel jay-baruchel jonah-hill martin-starr maude-apatow iris-apatow harold-ramis alan-tudyk kristen-wiig bill-hader craig-robinson charlyne-yi ken-jeong b-j-novak catherine-reitman brianna-brown adam-scott ana-mercedes mo-collins tim-bagley melinda-bennett paul-feig nautica-thorn stormy-daniels-1 tami-sagher jessica-alba steve-carell andy-dick james-franco eva-mendes ryan-seacrest-1 dax-shepard michelle-woods
labyrinth,jim-henson,jennifer-connelly david-bowie toby-froud shelley-thompson christopher-malcolm natalie-finland shari-weiser brian-henson ron-mueck warwick-davis david-shaughnessy timothy-bateson michael-hordern denise-bryer-1 percy-edwards anthony-asbury robert-beatty jack-purvis rob-mills dave-goelz david-alan-barclay karen-prell frank-oz steve-whitmire kevin-clash anthony-jackson-1 douglas-blackwell david-healy toby-philpott ian-thom charles-augins sherry-amott danny-john-jules cheryl-henson kaefan-shaw alistair-fullarton rollin-krewson richard-bodkin michael-attwell sean-barrett john-bluthal peter-marinker kerry-shale marc-antona kenny-baker danny-blackner peter-burroughs toby-denver-clark tessa-crockett malcolm-dixon anthony-georghiou paul-grant-2 john-key-1 andrew-herd richard-jones-2 mark-lisle peter-mandell linda-spriggs katie-purvis nicholas-read albert-wilkinson penny-stead michael-henbury-ballan elfrida-ashworth margaret-foyer elizabeth-a-gilbert louise-gold moira-grant san-lee janis-mackintosh penny-marsden kim-mendez wendy-millward leonie-palette caroline-pope sharon-white-1 john-aron terry-dane derek-hartley-1 douglas-howes christopher-preston peter-salmon-3 peter-sim graeme-sneddon graham-tudor-phillips david-turner-4 barrie-j-wilkinson
la-la-land,damien-chazelle,ryan-gosling emma-stone john-legend rosemarie-dewitt jk-simmons amiee-conn terry-walters thom-shelton cinda-adams callie-hernandez jessica-rothe sonoya-mizuno claudine-claudio jason-fuchs da-wallach trevor-lissauer olivia-hamilton anna-chazelle marius-de-vries finn-wittrock josh-pence nicole-coulon damon-gupton christopher-michael-stevens keith-harris-1 kaveh-rastegar briana-lee david-douglas-1 miles-anderson bobo-chang meagen-fay john-hindman valarie-rae-miller nicole-wolf corrin-evans kiff-vanden-heuvel tom-everett-scott hemky-madera zoe-hall dempsey-pappion sandra-rosko reshma-gajjar candice-coke hunter-hamilton damian-gomez amanda-balen dominic-chaiduang cindera-che chris-moss-1 marissa-labog tiffany-daniels melinda-sullivan stephanie-landwehr britt-stewart clarice-ordaz nathan-prevost scott-hislop kc-monnie krystal-ellsworth sarah-mitchell-3 khasan-brailsford morgan-larson becca-sweitzer gakenia-muigai michael-stein mario-diaz julie-schmid lexie-contursi eartha-robinson sybil-azur tara-nicole-hughes kayla-kalbfleisch martha-nichols anthony-marciona bill-prudich robert-roldan-1 ryan-novak demian-boergadine gustavo-vargas-1 robert-haynes ana-flavia-gavlak andres-perez-molina phillip-e-walker milica-govich kaye-l-morris nilla-elizabeth-watkins holly-houk jesse-houk kristin-slaysman cameron-brinkman jordan-ray-fox caroline-jaden-stussi margaret-newborn nadia-tumanova crystal-nichol kristin-elliott andrea-lareo christopher-aber anna-lunberry courtney-hart shannon-leann jenna-curtis noah-james tommy-cooley morgan-cohen jeremy-nathan-tisser patty-tobin heather-turman susie-ganiere ottavio-taddei april-martucci trent-kerpsack lynn-moore vince-donvito steffen-dziczek melvin-lathomas-brimm kelly-kennedy clarence-robinson dapo-torimiro destinee-handly tommy-otis amanda-fields-1 frederick-keeve kayla-bechor
the-land-before-time,don-bluth,gabriel-damon candace-hutson judith-barsi will-ryan pat-hingle helen-shaver bill-erwin burke-byrnes frank-welker
lars-and-the-real-girl,craig-gillespie,ryan-gosling emily-mortimer paul-schneider-1 kelli-garner patricia-clarkson lauren-ash r-d-reid nancy-beatty doug-lennox joe-bostick liz-gordon nicky-guadagni karen-robinson maxwell-mccabe-lokos billy-parrott boyd-banks alec-mcclure sally-cahill-1 angela-vint liisa-repo-martell darren-hynes victor-gomez-2 tommy-chang arnold-pinnock joshua-peace aurora-browne tannis-burnett lindsey-connell aaron-ferguson danna-howe annabelle-torsein tim-blake-1 torquil-colbo
the-last-of-the-mohicans-1992,michael-mann,daniel-day-lewis madeleine-stowe russell-means eric-schweig jodhi-may steven-waddington wes-studi maurice-roeves patrice-chereau edward-blatchford terry-kinney tracey-ellis justin-m-rice dennis-banks pete-postlethwaite
the-last-samurai,edward-zwick,tom-cruise ken-watanabe william-atherton chad-lindberg billy-connolly tony-goldwyn shichinosuke-nakamura koyuki timothy-spall togo-igawa scott-wilson-1 shun-sugata shin-koyamada hiroyuki-sanada masato-harada masashi-odate john-koyama satoshi-nikaido shintaro-wada sosuke-ikematsu aoi-minato shoji-yoshihara seizo-fukumoto-1 ray-godshall-sr kosaburo-nomura-iv takashi-noguchi noguchi-takayuki sven-toorvald yuki-matsuzaki mitsuyuki-oishi jiro-wada hiroshi-watanabe-3 yusuke-myochin hiroaki-amano kenta-daibo koji-fujii makoto-hashiba shimpei-horinouchi takashi-kora shane-kosugi takeshi-maya seiji-morita lee-murayama takeru-shimizu shinji-suzuki hisao-takeda ryoichiro-yonekura
the-last-waltz,martin-scorsese,robbie-robertson rick-danko levon-helm richard-manuel garth-hudson eric-clapton neil-diamond-1 bob-dylan neil-young joni-mitchell emmylou-harris ringo-starr paul-butterfield dr-john-3 van-morrison ronnie-hawkins mavis-staples-1 roebuck-pops-staples muddy-waters ron-wood michael-mcclure lawrence-ferlinghetti martin-scorsese jim-gordon howard-johnson tom-malone richard-cooper-1 jerry-hey charlie-keagle larry-packer
the-animal,luke-greenfield-1,rob-schneider-1 colleen-haskell john-c-mcginley ed-asner guy-torry adam-sandler michael-caton louis-lombardi bob-rubin pilar-schneider scott-wilson-1 raymond-ma harry-dean-stanton norm-macdonald noel-gugliemi
the-benchwarmers,dennis-dugan,jon-heder rob-schneider-1 david-spade jon-lovitz tim-meadows amaury-nolasco nick-swardson molly-sims erinn-bartlett craig-kilborn john-farley bill-romanowski matt-weinberg reggie-jackson sean-salisbury joe-gnoffo jackie-sandler jared-sandler ray-nicholson terry-crews patrick-schwarzenegger lochlyn-munro doug-jones rachel-hunter dan-patrick james-earl-jones max-prado dennis-dugan jonathan-loughran jillian-henry danny-mccarthy-1 mason-knight-1 irene-roseen judith-drake gerry-del-sol blake-clark ron-masak brooke-langton mary-jo-catlett matthew-willig cleo-king gabriel-pimentel
deuce-bigalow-european-gigolo,mike-bigelow,rob-schneider-1 eddie-griffin jeroen-krabbe til-schweiger hanna-verboom oded-fehr carlos-ponce douglas-sills charles-keating adam-sandler alex-dimitriades katie-downes kelly-brook jimmy-gardner-2
the-house-bunny,fred-wolf,anna-faris emma-stone kat-dennings katharine-mcphee rumer-willis hugh-hefner christopher-mcdonald beverly-dangelo kiely-williams tyson-ritter colin-hanks sarah-wright danni-katz dana-goodman kimberly-makkouk monet-mazur jay-hayden owen-benjamin nick-swardson holly-madison shaquille-oneal dan-patrick sean-salisbury charles-robinson emily-wilson bridget-marquardt kendra-wilkinson sara-jean-underwood lauren-michelle-hill hiromi-oshima allen-covert
joe-dirt,dennie-gordon,david-spade brittany-daniel dennis-miller adam-beach jaime-pressly fred-ward christopher-walken kid-rock erik-per-sullivan caroline-aaron megan-taylor-harvey john-farley tyler-mane brian-thompson-1 rosanna-arquette joe-don-baker kevin-nealon richard-riehle blake-clark
the-master-of-disguise,perry-andelin-blake,dana-carvey brent-spiner-1 jennifer-esposito harold-gould james-brolin austin-wolff edie-mcclurg maria-canals-barrera robert-machray michael-bailey-smith rachel-lederman mark-devine kenan-thompson jay-johnston-1 jessica-simpson jessica-keller vincent-riverside mark-ginther carrick-oquinn mitch-silpa virginia-hawkins jonathan-loughran ted-rooney brandon-molale erick-avari phil-jones-4 michael-deluise larry-cedar andrew-shaifer vincent-castellanos roger-mussenden al-goto simon-rhee kevin-nealon bill-cho-lee chao-li-chi steve-gormley christel-smith ava-metz bo-derek barry-bernardi brian-catalano gabriel-pimentel martha-del-rio guelmari-oppenheimer tracy-e-wilson patricia-de-leon phil-fischer steven-hack dane-morris bryan-jeffrey-price andy-morrow naya-rivera julius-ritter brighton-hertford sandra-lindquist eugene-c-palmer leland-crooke mike-johnson-10 michael-lee-phillips-jr buddy-bolton stuart-quan spencer-sano hiro-koda johnny-tri-nguyen yoshio-iizuka ronn-surels andy-cheng steven-ho tony-wilde berglind-icey leasi-andrews anna-marie-goddard theresa-madelin-lin adrian-armas gustavo-vargas-1 paul-benshoof oscar-orosco andrea-bogart paulette-maxwell paula-abdul lisa-foiles jesse-v-johnson shane-lyons michael-johnson-7 cole-sprouse dylan-sprouse
a-league-of-their-own,penny-marshall,tom-hanks geena-davis madonna lori-petty jon-lovitz david-strathairn garry-marshall bill-pullman megan-cavanagh rosie-odonnell tracy-reiner bitty-schram don-s-davis renee-coleman ann-cusack eddie-jones freddie-simpson anne-ramsay robin-knight patti-pelton kelli-simpkins neezer-tarleton tea-leoni david-l-lander joey-slotnick mark-holton janet-jones rae-allen gregory-sporleder eddie-mekka-1
led-zeppelin,jimmy-page dick-carruthers-1,robert-plant jimmy-page john-paul-jones john-bonham
legally-blonde,robert-luketic,reese-witherspoon luke-wilson selma-blair matthew-davis victor-garber jennifer-coolidge holland-taylor ali-larter jessica-cauffiel alanna-ubach oz-perkins linda-cardellini meredith-scott-lynn raquel-welch greg-serano john-cantwell tane-mcclure bruce-thomas corinne-reilly victoria-mahoney jodi-harris lacey-beeman john-kapelos-1 allyce-beasley richard-hillman
the-legend-of-zorro,martin-campbell,antonio-banderas catherine-zeta-jones adrian-alonso-barona julio-oscar-mechoso nick-chinlund alexa-benedetti rufus-sewell raul-mendez brandon-wood michael-emerson pedro-armendariz-jr mary-crosby giovanna-zacarias alberto-reyes gustavo-sanchez-parra carlos-cobos tony-amendola
les-miserables-2012,tom-hooper,hugh-jackman russell-crowe anne-hathaway amanda-seyfried-1 eddie-redmayne helena-bonham-carter sacha-baron-cohen aaron-tveit samantha-barks daniel-huttlestone cavin-cornwall josef-altin david-hawley adam-jones-2 john-barr tony-rohr richard-dixon andy-beckwith colm-wilkinson stephen-bent georgie-glen heather-chasen paul-thornley paul-howell stephen-tate-1 michael-jibson kate-fleetwood hannah-waddingham clare-foster kirsty-hoiles alice-fearn alison-tennant marilyn-cutts cathy-breeze john-albasiny bertie-carvel tim-downie andrew-havill dick-ward nicola-sloane daniel-evans david-stoller ross-mccormack jaygann-ayeh adrian-scarborough frances-ruffelle lynne-wilmot charlotte-spencer-1 julia-worsley keith-dunphy ashley-artus john-surman david-cann james-simmons polly-kemp ian-pirie adam-pearce julian-bleach marc-pickering isabelle-allen natalya-wallace phil-snowden hadrian-delacey lottie-steer sam-parks mark-donovan lewis-kirk leighton-rafferty peter-mair jack-chissick dianne-pilkington robyn-north norma-atallah patrick-godfrey mark-roper-2 paul-leonard miles-roughley cameron-strefford alfie-davis joseph-west joel-phillimore jacqueline-dankworth amelia-jefford chris-barnes-2 richard-cordery killian-donnelly fra-fee gabriel-vick george-blagden-1 hugh-skinner stuart-neal alistair-brammer iwan-lewis katy-secombe hadley-fraser linzi-hateley gemma-wardle gina-beck katie-hall lisa-hull andrea-deck jessica-duncan kerry-ingram john-warnaby mike-sarne freya-parks richard-bremmer alexander-brooks eleanor-bruce emma-dukes stephen-matthews peter-saracen sebastian-sykes phil-zimmerman bessie-carter helen-cotterill tricia-deighton mandy-holliday charlotte-hope jackie-marks sara-pelosi mary-roscoe amelia-scaramucci caroline-sheen rachael-archer lorna-brown antonia-clarke mary-cormack sonya-cullingford holly-dale-spencer amy-griffiths fania-grigoriou amanda-henderson-1 alexia-khadime luisa-lazzaro gemma-oduffy rosa-oreilly amy-ellen-richardson olivia-rose-aaron robyn-miranda-simpson rachel-stanley nancy-sullivan-1 rebecca-sutherland tabitha-webb gerard-bentall tony-bignell michael-cahill-1 richard-colson kerry-ellis simon-fisher-becker sarah-flind kelly-anne-gower james-greene-2 nick-holder chris-howell-1 alison-jiear terence-keely martin-marquez sally-mates jeff-nicholson-1 adam-searles simon-shorten juliet-alderdice sean-buckley valerie-cutko spike-grimsey matt-harrop georgina-jackson perry-millward phil-philmar joyce-springer julie-stark dominic-applewhite matthew-corner andy-coxon jonathan-dudley rhidian-marc chris-milford jamie-muscato joseph-peters david-roberts-2 stevee-davies jonny-purchase matt-seadon-young jos-slovick samuel-j-weir sophie-huchinson ella-hunt claire-machin brenda-moore mischa-purnell annette-yeo josephine-darvill-mills jennifer-essex vicky-evans edward-lewis-french nigel-garton lynn-jezzard nicholas-keegan steve-kirkham vanessa-lee-hicks ian-parsons-1 gemma-payne clinten-pearce claire-piquemal aaron-sillis-1 ian-waller jenna-boyd-1
